Emiten;EPS;PER;PBV;Harga
ADRO;64,76;22,08;0,82;1430
AKRA;231,23;13,75;1,21;3180
AMRT;25,58;31,27;4,35;800
ANTM;47,89;40,41;2,44;1935
ARTO;-17,72;-242,66;37,5;4300
ASII;399,11;15,1;1,25;6025
BBCA;1170,7;30,44;4,47;33850
BBNI;177,32;34,82;1,01;6175
BBRI;152,78;27,29;2,55;4170
BMRI;363,63;17,39;1,51;6325
BRPT;6,47;170,02;2,47;1100
BUKA;-13,09;-80,98;67,95;1060
CPIN;234,27;27,85;4,58;6525
EMTK;33,63;416,29;6,37;14000
ESSA;-18,87;-11,13;0,75;210
GOTO;-12;-31,83;21,75;382
HRUM;308,25;9,67;1,26;2980
INCO;118;43,22;1,78;5100
INDF;733,59;9,34;0,76;6850
ITMG;506,1;27,37;1,31;13850
KLBF;58,28;25,39;3,8;1480
MDKA;22,29;109,02;6,69;2430
MEDC;-108,36;-5,44;0,88;590
PGAS;-154,32;-10,72;0,96;1655
PTBA;207,55;13,54;1,91;2810
SMGR;473,27;26,25;2,07;12425
TLKM;209,93;15,77;2,71;3310
TOWR;55,61;17,26;4,81;960
UNTR;1622,49;16,39;1,57;26600
UNVR;188,02;39,09;56,79;7350
